date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-07-09 04:04:25,Sin06Regrets,NZXT,0,0,0,"I wouldn’t know since I don’t have a pc",,,,1281076719466811393,https://twitter.com/Sin06Regrets/status/1281076719466811393
2020-07-09 04:01:25,Retrorenegades_,,1,0,2,"I gotta code for this game on steam a d since I don't play on pc I'm giving it away. The only catch is you have to follow me and you gotta know who got me started in podcasting and what that first podcast was named I was on to win. Easy right? pic.twitter.com/h3xcRfAPml",,,,1281075963334361088,https://twitter.com/Retrorenegades_/status/1281075963334361088
2020-07-09 04:01:07,WPCPinball,,0,0,0,"WPC-95: Cactus Canyon, the active ROM bank is 55, PC register value is 0xd55e, running since 74 seconds, PC register value is 0xd55e. #Pinballpic.twitter.com/rBCRd0vFqq",,,#Pinballpic,1281075887547572224,https://twitter.com/WPCPinball/status/1281075887547572224
2020-07-09 03:59:31,Eppsil0n,InariReborn,1,0,1,"Those controls make a lot of sense actually Since if it was like PC flat mode and you had to physically look at everything you’d fucking die",,,,1281075485036904448,https://twitter.com/Eppsil0n/status/1281075485036904448
2020-07-09 03:59:16,Lousaidwat,johnnyjl96,0,0,0,"Ms been putting games on pc since the og Xbox now suddenly its doom and gloom stop fear mongering",,,,1281075420201443329,https://twitter.com/Lousaidwat/status/1281075420201443329
2020-07-09 03:54:58,bezerker99,HonourableHappy,0,0,0,"if you could come to my house and get any video game to play on any operating system since Windows 95 that would be a miracle. And I would give you props for it. PC gaming sucks",,,,1281074340109393920,https://twitter.com/bezerker99/status/1281074340109393920
2020-07-09 03:53:08,wannacub,,0,0,0,"So, I have two old PC's. I bought a new one last year. Can I install the old hard drives and transfer my stuff to the new ones? I don't remember how to do that since the last time I did that around 15 years ago",,,,1281073877523677184,https://twitter.com/wannacub/status/1281073877523677184
2020-07-09 03:53:05,lee_hammock,,1,0,3,"Tonight In my work D&D game I brought in a special guest star ( @TheJackHavoc) to play an NPC (inevitAble lawyer representing the raksasha the PCs killed without provocation) since were playing online and it’s easy to do. It went amazingly well and definitely doing more of that.",,@TheJackHavoc,,1281073864152399872,https://twitter.com/lee_hammock/status/1281073864152399872
2020-07-09 03:51:46,silentiumsystem,,0,0,0,"If my hardrive wasn’t dead I would be playing, stardew valley, Fallout 4, or Minecraft rn. So naturally I bought splatoon 2 and it’s expansion S well as BOTW’s expansion since it seems I’ll be unable to pc game for a while",,,,1281073535683825666,https://twitter.com/silentiumsystem/status/1281073535683825666
2020-07-09 03:50:45,peachygos_,,6,0,2,"golden child interest? since the last seller didn’t hit us back :( pls comment a ss of the pc(s) u want. NOT ON HAND, aprox $4-5 or less each pic.twitter.com/ksrR3e2Rbe",,,,1281073279382536192,https://twitter.com/peachygos_/status/1281073279382536192
2020-07-09 03:50:24,KalpenParekh,AshishShanker7,1,1,1,"Also the odds can be seen as 57/43 since average holding periods in equity is around 3 years - hence all the more portfolios should have more diversification Add the dimension of starting valuations at time of investing - the odds would change to 100 pc for equity & vice versa",,,,1281073191180353536,https://twitter.com/KalpenParekh/status/1281073191180353536
2020-07-09 03:49:00,Zack_Moneys,TrueGamer1111,0,0,0,"Definitely rdr2 lmao especially since it actually has a pc version",,,,1281072837021884416,https://twitter.com/Zack_Moneys/status/1281072837021884416
2020-07-09 03:47:32,NyndeeLV,Prexibtw,1,0,1,"Broooo everything went downhill since my pc broke",,,,1281072470683004929,https://twitter.com/NyndeeLV/status/1281072470683004929
2020-07-09 03:46:01,shiro_hoonie,,0,0,0,"Hing i got no hope for joeun music hoon and soon pc then ㅠㅠㅠㅠ since nu bought from beatroad huaaaaaaaaa",,,,1281072086337773569,https://twitter.com/shiro_hoonie/status/1281072086337773569
2020-07-09 03:45:56,peachygos_,,2,8,4,"hiii reposting this since i’m going to the post office tmr!! pls dm if any of y’all would like to purchase !! p1 nct repackage albums do NOT come w pcs, ccs or postcard PRICES ARE BELOW!!! wts bts nct kpop pic.twitter.com/EWjyNVz7em",,,,1281072064913461250,https://twitter.com/peachygos_/status/1281072064913461250
2020-07-09 03:45:21,laserlime,,0,0,2,"LRT OP said in replies that the poster has since removed this from their profile but still pls don’t do stuff like that bc it’s not in the spirit of the game",,,,1281071921329770501,https://twitter.com/laserlime/status/1281071921329770501
2020-07-09 03:45:10,PC94JD,madelynxmonroe,0,0,0,"Late to the party but couldn’t resist. Especially since Boston is on the horizon! pic.twitter.com/6vStFk2pI9",,,,1281071875737649158,https://twitter.com/PC94JD/status/1281071875737649158
